id,generation,name,set_num,supertype,legalities
base1-1,First,Alakazam,1,Pokémon,{'unlimited': 'Legal'}
base1-2,First,Blastoise,2,Pokémon,{'unlimited': 'Legal'}
base1-3,First,Chansey,3,Pokémon,{'unlimited': 'Legal'}
base1-4,First,Charizard,4,Pokémon,{'unlimited': 'Legal'}
base1-5,First,Clefairy,5,Pokémon,{'unlimited': 'Legal'}
base1-6,First,Gyarados,6,Pokémon,{'unlimited': 'Legal'}
base1-7,First,Hitmonchan,7,Pokémon,{'unlimited': 'Legal'}
base1-8,First,Machamp,8,Pokémon,{'unlimited': 'Legal'}
base1-9,First,Magneton,9,Pokémon,{'unlimited': 'Legal'}
base1-10,First,Mewtwo,10,Pokémon,{'unlimited': 'Legal'}
base1-11,First,Nidoking,11,Pokémon,{'unlimited': 'Legal'}
base1-12,First,Ninetales,12,Pokémon,{'unlimited': 'Legal'}
base1-13,First,Poliwrath,13,Pokémon,{'unlimited': 'Legal'}
base1-14,First,Raichu,14,Pokémon,{'unlimited': 'Legal'}
base1-15,First,Venusaur,15,Pokémon,{'unlimited': 'Legal'}
base1-16,First,Zapdos,16,Pokémon,{'unlimited': 'Legal'}
base1-17,First,Beedrill,17,Pokémon,{'unlimited': 'Legal'}
base1-18,First,Dragonair,18,Pokémon,{'unlimited': 'Legal'}
base1-19,First,Dugtrio,19,Pokémon,{'unlimited': 'Legal'}
base1-20,First,Electabuzz,20,Pokémon,{'unlimited': 'Legal'}
base1-21,First,Electrode,21,Pokémon,{'unlimited': 'Legal'}
base1-22,First,Pidgeotto,22,Pokémon,{'unlimited': 'Legal'}
base1-23,First,Arcanine,23,Pokémon,{'unlimited': 'Legal'}
base1-24,First,Charmeleon,24,Pokémon,{'unlimited': 'Legal'}
base1-25,First,Dewgong,25,Pokémon,{'unlimited': 'Legal'}
base1-26,First,Dratini,26,Pokémon,{'unlimited': 'Legal'}
base1-27,First,Farfetch'd,27,Pokémon,{'unlimited': 'Legal'}
base1-28,First,Growlithe,28,Pokémon,{'unlimited': 'Legal'}
base1-29,First,Haunter,29,Pokémon,{'unlimited': 'Legal'}
base1-30,First,Ivysaur,30,Pokémon,{'unlimited': 'Legal'}
base1-31,First,Jynx,31,Pokémon,{'unlimited': 'Legal'}
base1-32,First,Kadabra,32,Pokémon,{'unlimited': 'Legal'}
base1-33,First,Kakuna,33,Pokémon,{'unlimited': 'Legal'}
base1-34,First,Machoke,34,Pokémon,{'unlimited': 'Legal'}
base1-35,First,Magikarp,35,Pokémon,{'unlimited': 'Legal'}
base1-36,First,Magmar,36,Pokémon,{'unlimited': 'Legal'}
base1-37,First,Nidorino,37,Pokémon,{'unlimited': 'Legal'}
base1-38,First,Poliwhirl,38,Pokémon,{'unlimited': 'Legal'}
base1-39,First,Porygon,39,Pokémon,{'unlimited': 'Legal'}
base1-40,First,Raticate,40,Pokémon,{'unlimited': 'Legal'}
base1-41,First,Seel,41,Pokémon,{'unlimited': 'Legal'}
base1-42,First,Wartortle,42,Pokémon,{'unlimited': 'Legal'}
base1-43,First,Abra,43,Pokémon,{'unlimited': 'Legal'}
base1-44,First,Bulbasaur,44,Pokémon,{'unlimited': 'Legal'}
base1-45,First,Caterpie,45,Pokémon,"{'unlimited': 'Legal', 'expanded': 'Legal'}"
base1-46,First,Charmander,46,Pokémon,{'unlimited': 'Legal'}
base1-47,First,Diglett,47,Pokémon,{'unlimited': 'Legal'}
base1-48,First,Doduo,48,Pokémon,{'unlimited': 'Legal'}
base1-49,First,Drowzee,49,Pokémon,{'unlimited': 'Legal'}
base1-50,First,Gastly,50,Pokémon,{'unlimited': 'Legal'}
base1-51,First,Koffing,51,Pokémon,{'unlimited': 'Legal'}
base1-52,First,Machop,52,Pokémon,{'unlimited': 'Legal'}
base1-53,First,Magnemite,53,Pokémon,{'unlimited': 'Legal'}
base1-54,First,Metapod,54,Pokémon,{'unlimited': 'Legal'}
base1-55,First,Nidoran â™‚,55,Pokémon,{'unlimited': 'Legal'}
base1-56,First,Onix,56,Pokémon,{'unlimited': 'Legal'}
base1-57,First,Pidgey,57,Pokémon,{'unlimited': 'Legal'}
base1-58,First,Pikachu,58,Pokémon,{'unlimited': 'Legal'}
base1-59,First,Poliwag,59,Pokémon,{'unlimited': 'Legal'}
base1-60,First,Ponyta,60,Pokémon,{'unlimited': 'Legal'}
base1-61,First,Rattata,61,Pokémon,{'unlimited': 'Legal'}
base1-62,First,Sandshrew,62,Pokémon,{'unlimited': 'Legal'}
base1-63,First,Squirtle,63,Pokémon,{'unlimited': 'Legal'}
base1-64,First,Starmie,64,Pokémon,{'unlimited': 'Legal'}
base1-65,First,Staryu,65,Pokémon,{'unlimited': 'Legal'}
base1-66,First,Tangela,66,Pokémon,{'unlimited': 'Legal'}
base1-67,First,Voltorb,67,Pokémon,{'unlimited': 'Legal'}
base1-68,First,Vulpix,68,Pokémon,{'unlimited': 'Legal'}
base1-69,First,Weedle,69,Pokémon,"{'unlimited': 'Legal', 'expanded': 'Legal'}"
base1-70,First,Clefairy Doll,70,Trainer,{'unlimited': 'Legal'}
base1-71,First,Computer Search,71,Trainer,{'unlimited': 'Legal'}
base1-72,First,Devolution Spray,72,Trainer,{'unlimited': 'Legal'}
base1-73,First,Impostor Professor Oak,73,Trainer,{'unlimited': 'Legal'}
base1-74,First,Item Finder,74,Trainer,{'unlimited': 'Legal'}
base1-75,First,Lass,75,Trainer,{'unlimited': 'Legal'}
base1-76,First,PokÃ©mon Breeder,76,Trainer,{'unlimited': 'Legal'}
base1-77,First,PokÃ©mon Trader,77,Trainer,{'unlimited': 'Legal'}
base1-78,First,Scoop Up,78,Trainer,{'unlimited': 'Legal'}
base1-79,First,Super Energy Removal,79,Trainer,{'unlimited': 'Legal'}
base1-80,First,Defender,80,Trainer,{'unlimited': 'Legal'}
base1-81,First,Energy Retrieval,81,Trainer,"{'unlimited': 'Legal', 'standard': 'Legal', 'expanded': 'Legal'}"
base1-82,First,Full Heal,82,Trainer,{'unlimited': 'Legal'}
base1-83,First,Maintenance,83,Trainer,"{'unlimited': 'Legal', 'expanded': 'Legal'}"
base1-84,First,PlusPower,84,Trainer,"{'unlimited': 'Legal', 'expanded': 'Legal'}"
base1-85,First,PokÃ©mon Center,85,Trainer,{'unlimited': 'Legal'}
